,0
0,31
1,26
2,26
3,68
4,31
5,31
6,26
7,22
8,31
9,26
10,41
11,41
12,26
13,26
14,31
15,26
16,26
17,31
18,69
19,75
20,31
21,78
22,22
23,22
24,31
25,4
26,31
27,31
28,31
29,26
30,31
31,19
32,41
33,26
34,31
35,52
36,26
37,67
38,31
39,68
40,31
41,31
42,31
43,31
44,68
45,31
46,31
47,31
48,31
49,78
50,41
51,78
52,31
53,31
54,41
55,31
56,26
57,26
58,31
59,26
60,41
61,41
62,26
63,31
64,26
65,26
66,41
67,31
68,31
69,31
70,41
71,31
72,31
73,31
74,31
75,68
76,31
77,31
78,31
79,31
80,31
81,69
82,31
83,41
84,31
85,4
86,74
87,31
88,4
89,26
90,31
91,26
92,31
93,26
94,14
95,41
96,41
97,31
98,22
99,31
100,26
101,31
102,26
103,31
104,41
105,41
106,41
107,4
108,26
109,31
110,75
111,68
112,26
113,41
114,31
115,31
116,26
117,26
118,26
119,75
120,68
121,26
122,31
123,41
124,26
125,31
126,41
127,31
128,62
129,30
130,31
131,31
132,26
133,64
134,4
135,26
136,26
137,31
138,75
139,26
140,41
141,68
142,31
143,4
144,26
145,31
146,67
147,67
148,62
149,41
150,41
151,26
152,31
153,26
154,41
155,75
156,75
157,31
158,26
159,31
160,41
161,41
162,68
163,31
164,31
165,69
166,4
167,41
168,26
169,26
170,41
171,41
172,26
173,41
174,31
175,31
176,31
177,31
178,68
179,31
180,41
181,31
182,26
183,31
184,26
185,26
186,26
187,31
188,75
189,31
190,26
191,31
192,67
193,26
194,31
195,26
196,46
197,26
198,31
199,31
200,41
201,41
202,41
203,31
204,31
205,31
206,64
207,31
208,31
209,41
210,68
211,26
212,31
213,31
214,31
215,41
216,31
217,31
218,41
219,31
220,68
221,31
222,41
223,69
224,75
225,68
226,31
227,26
228,31
229,69
230,31
231,68
232,31
233,31
234,31
235,31
236,31
237,26
238,31
239,41
240,68
241,31
242,41
243,31
244,41
245,26
246,31
247,31
248,75
249,31
250,14
251,69
252,31
253,22
254,31
255,68
256,68
257,26
258,26
259,31
260,26
261,31
262,31
263,41
264,68
265,31
266,41
267,14
268,41
269,31
270,31
271,31
272,31
273,41
274,22
275,41
276,41
277,31
278,26
279,62
280,26
281,26
282,75
283,41
284,31
285,31
286,41
287,22
288,46
289,31
290,31
291,41
292,31
293,31
294,19
295,75
296,31
297,31
298,31
299,26
300,31
301,31
302,41
303,41
304,31
305,31
306,75
307,31
308,41
309,26
310,41
311,31
312,31
313,31
314,31
315,75
316,26
317,68
318,31
319,68
320,4
321,41
322,31
323,41
324,26
325,31
326,26
327,41
328,31
329,68
330,41
331,31
332,41
333,31
334,31
335,41
336,26
337,75
338,41
339,31
340,26
341,68
342,41
343,41
344,26
345,31
346,41
347,31
348,31
349,26
350,31
351,31
352,69
353,31
354,68
355,64
356,31
357,31
358,31
359,26
360,41
361,22
362,46
363,31
364,68
365,4
366,31
367,31
368,26
369,41
370,31
371,68
372,31
373,68
374,31
375,26
376,31
377,41
378,31
379,26
380,31
381,31
382,31
383,26
384,41
385,31
386,64
387,68
388,41
389,4
390,41
391,68
392,26
393,78
394,31
395,41
396,31
397,31
398,4
399,26
400,14
401,41
402,78
403,31
404,41
405,31
406,31
407,68
408,68
409,41
410,26
411,68
412,41
413,31
414,26
415,26
416,26
417,31
418,22
419,31
420,26
421,26
422,31
423,31
424,31
425,68
426,41
427,41
428,31
429,31
430,41
431,31
432,31
433,31
434,26
435,31
436,31
437,31
438,26
439,31
440,41
441,26
442,31
443,41
444,64
445,41
446,41
447,68
448,31
449,41
450,31
451,31
452,31
453,31
454,31
455,31
456,26
457,31
458,41
459,31
460,26
461,26
462,52
463,31
464,68
465,68
466,78
467,41
468,31
469,41
470,31
471,41
472,68
473,31
474,41
475,31
476,68
477,26
478,31
479,30
480,26
481,41
482,31
483,27
484,31
485,26
486,26
487,31
488,31
489,31
490,31
491,31
492,31
493,68
494,26
495,22
496,31
497,31
498,41
499,31
500,26
501,31
502,26
503,31
504,78
505,68
506,31
507,41
508,41
509,26
510,26
511,27
512,31
513,26
514,41
515,31
516,75
517,68
518,22
519,41
520,41
521,26
522,31
523,31
524,31
525,26
526,78
527,68
528,75
529,31
530,26
531,22
532,26
533,31
534,31
535,31
536,31
537,31
538,31
539,26
540,31
541,26
542,31
543,31
544,31
545,41
546,31
547,75
548,30
549,31
550,31
551,68
552,26
553,69
554,26
555,31
556,31
557,69
558,41
559,31
560,22
561,26
562,41
563,31
564,31
565,75
566,41
567,26
568,26
569,31
570,26
571,41
572,26
573,30
574,64
575,26
576,31
577,31
578,68
579,41
580,41
581,68
582,68
583,26
584,78
585,31
586,31
587,26
588,31
589,41
590,31
591,31
592,14
593,75
594,78
595,68
596,31
597,41
598,14
599,41
600,41
601,26
602,31
603,31
604,31
605,31
606,31
607,26
608,26
609,26
610,31
611,75
612,41
613,41
614,68
615,68
616,26
617,31
618,26
619,26
620,68
621,75
622,26
623,31
624,31
625,26
626,31
627,31
628,26
629,31
630,78
631,41
632,26
633,68
634,31
635,31
636,31
637,31
638,41
639,46
640,31
641,31
642,26
643,31
644,41
645,4
646,26
647,57
648,31
649,31
650,26
651,74
652,22
653,31
654,31
655,31
656,75
657,31
658,31
659,26
660,31
661,41
662,31
663,31
664,31
665,31
666,31
667,41
668,26
669,26
670,64
671,41
672,31
673,41
674,31
675,31
676,26
677,31
678,41
679,31
680,14
681,31
682,31
683,31
684,27
685,41
686,22
687,31
688,41
689,31
690,31
691,31
692,31
693,31
694,26
695,31
696,26
697,68
698,31
699,31
700,31
701,75
702,4
703,4
704,26
705,26
706,78
707,26
708,41
709,31
710,31
711,31
712,26
713,31
714,31
715,31
716,26
717,31
718,26
719,64
720,30
721,68
722,31
723,31
724,31
725,41
726,31
727,41
728,41
729,31
730,31
731,26
732,19
733,31
734,31
735,31
736,26
737,26
738,68
739,26
740,31
741,31
742,26
743,31
744,14
745,41
746,31
747,68
748,31
749,78
750,68
751,26
752,31
753,31
754,26
755,31
756,64
757,26
758,31
759,31
760,68
761,31
762,26
763,41
764,31
765,31
766,31
767,26
768,68
769,31
770,31
771,68
772,69
773,75
774,31
775,31
776,78
777,31
778,41
779,31
780,41
781,68
782,31
783,22
784,26
785,31
786,68
787,31
788,31
789,68
790,68
791,41
792,26
793,26
794,26
795,41
796,31
797,31
798,31
799,22
800,26
801,31
802,31
803,26
804,31
805,31
806,22
807,31
808,68
809,31
810,31
811,26
812,31
813,41
814,78
815,31
816,68
817,31
818,31
819,26
820,41
821,41
822,31
823,68
824,31
825,31
826,31
827,26
828,31
829,31
830,68
831,31
832,41
833,26
834,14
835,31
836,26
837,31
838,26
839,26
840,41
